fishID;age;size
551;1;58.107845
551;2;93.82688
551;3;116.75207
551;4;123.9338975
551;5;130.1566925
559;1;59.6121575
559;2;92.6761475
559;3;103.80806
559;4;109.7246675
559;5;114.8409275
559;6;119.5801775
562;1;56.88203
562;2;92.17613
562;3;106.36619
562;4;115.0603175
562;5;121.75118
562;6;128.06024
574;1;64.4642975
574;2;102.5508275
574;3;113.971355
574;4;121.066385
574;5;126.5761625
575;1;72.7734275
575;2;104.61107
575;3;117.592355
575;4;124.2949325
575;5;131.422445
575;6;137.3262725
2954;1;56.2478225
2954;2;89.3661275
2954;3;104.060465
2954;4;115.7152925
2954;5;123.3572
2955;1;59.899175
2955;2;92.961035
2955;3;104.8267325
2955;4;115.48259
2955;5;123.831125
2969;1;50.1890375
2969;2;97.817435
2969;3;112.4638475
2969;4;124.5047375
2969;5;133.1003525
2979;1;63.4536125
2979;2;91.24106
2979;3;102.89642
2979;4;114.41759
2979;5;123.863075
2979;6;132.9917225
2980;1;61.74269
2980;2;86.958695
2980;3;102.8234675
2980;4;110.08091
2980;5;116.5715525
2980;6;123.168695
2980;7;128.89946
2995;1;62.04728
2995;2;90.8747
2995;3;103.95716
2995;4;110.69435
2995;5;121.3278425
2995;6;130.38833
2999;1;62.72036
2999;2;91.8550325
2999;3;106.81562
2999;4;116.8495175
2999;5;126.2044775
3004;1;67.05491
3004;2;90.5173925
3004;3;107.51426
3004;4;117.36125
3004;5;130.372355
3006;1;66.24338
3006;2;100.8857
3006;3;111.93401
3006;4;118.24307
3006;5;123.767225
5676;1;59.8464575
5676;2;94.12295
5676;3;113.0304275
5676;4;125.624585
5676;5;136.651595
5696;1;48.007385
5696;2;82.430315
5696;3;97.3909025
5696;4;107.3007275
5696;5;117.1711475
5914;1;55.15034
5914;2;91.4950625
5914;3;111.6437975
5914;4;121.09727
5914;5;129.7913975
7114;1;54.968225
7114;2;79.7907125
7114;3;99.8627675
7114;4;113.6598425
7114;5;125.1341525
9478;1;67.2737675
9478;2;106.7011325
9478;3;120.105755
9478;4;129.2344025
9478;5;138.4221575
9484;1;49.694345
9484;2;90.897065
9484;3;115.613585
9484;4;127.8200825
9484;5;138.4466525
9504;1;54.921365
9504;2;93.11546
9504;3;117.52952
9504;4;134.1760025
9504;5;146.4778175
9922;1;48.4935575
9922;2;91.06427
9922;3;112.34936
9922;4;123.4322825
9922;5;131.164715
9933;1;44.910365
9933;2;80.385515
9933;3;103.619555
9933;4;117.0529325
9933;5;126.5309
10126;1;56.978945
10126;2;102.054005
10126;3;121.439135
10126;4;134.25854
10126;5;145.2360275
10144;1;42.0439175
10144;2;85.75844
10144;3;104.6659175
10144;4;114.314285
10144;5;120.8049275
10412;1;65.6943725
10412;2;96.4153625
10412;3;110.9824325
10412;4;120.501935
10412;5;128.020835
10412;6;135.539735
10483;1;64.725755
10483;2;104.4933875
10483;3;125.4451325
10483;4;133.8586325
10483;5;139.968005
10483;6;143.5969925
11063;1;56.82026
11063;2;96.1789325
11063;3;110.352485
11063;4;120.5929925
11063;5;128.0810075
11065;1;47.8385825
11065;2;87.35381
11065;3;101.527895
11065;4;117.2755175
11065;5;128.323295
11069;1;63.5824775
11069;2;104.4923225
11069;3;123.4163075
11069;4;132.2606
11069;5;141.4403675
11069;6;148.6653275
11078;1;57.6025025
11078;2;82.8025325
11078;3;98.9436725
11078;4;110.075585
11078;5;119.26334
11090;1;57.2116475
11090;2;91.3864325
11090;3;106.34702
11090;4;122.08985
11090;5;133.53008
11097;1;61.375265
11097;2;88.5769625
11097;3;100.098665
11097;4;111.230045
11097;5;120.4939475
11103;1;63.8540525
11103;2;104.9055425
11103;3;125.405195
11103;4;138.4881875
11103;5;149.57111
11130;1;59.9337875
11130;2;96.15071
11130;3;112.7971925
11130;4;123.880115
11130;5;132.293615
14420;1;58.19198
14420;2;84.5725625
14420;3;99.2669
14420;4;109.68686
14420;5;117.7142975
14575;1;59.9178125
14575;2;95.8945775
14575;3;112.20239
14575;4;122.0413925
14575;5;131.1279725
14612;1;53.144945
14612;2;88.4896325
14612;3;106.991345
14612;4;117.411305
14612;5;125.7603725
